"date","t","dailyconfirmed","dailydeceased","dailyrecovered","totalconfirmed","totaldeceased","totalrecovered"
2020-04-25,86,"1835","44","442","26283","825","5938"
2020-04-26,87,"1607","56","585","27890","881","6523"
2020-04-27,88,"1568","58","580","29458","939","7103"
2020-04-28,89,"1902","69","636","31360","1008","7739"
2020-04-29,90,"1705","71","690","33065","1079","8429"
2020-04-30,91,"1801","75","630","34866","1154","9059"
2020-05-01,92,"2396","77","962","37262","1231","10021"
2020-05-02,93,"2564","92","831","39826","1323","10852"
2020-05-03,94,"2952","140","911","42778","1463","11763"
2020-05-04,95,"3656","103","1082","46434","1566","12845"
2020-05-05,96,"2971","128","1295","49405","1694","14140"
2020-05-06,97,"3602","91","1161","53007","1785","15301"
2020-05-07,98,"3344","104","1475","56351","1889","16776"
2020-05-08,99,"3339","97","1111","59690","1986","17887"
2020-05-09,100,"3175","115","1414","62865","2101","19301"
2020-05-10,101,"4311","112","1669","67176","2213","20970"
2020-05-11,102,"3592","81","1579","70768","2294","22549"
2020-05-12,103,"3562","120","1905","74330","2414","24454"
2020-05-13,104,"3726","137","1963","78056","2551","26417"
2020-05-14,105,"3991","97","1594","82047","2648","28011"
2020-05-15,106,"3808","104","2234","85855","2752","30245"
2020-05-16,107,"4794","120","4012","90649","2872","34257"
2020-05-17,108,"5049","152","2538","95698","3024","36795"
2020-05-18,109,"4628","131","2482","100326","3155","39277"
2020-05-19,110,"6154","146","3032","106480","3301","42309"
2020-05-20,111,"5720","134","3113","112200","3435","45422"
2020-05-21,112,"6023","148","3131","118223","3583","48553"
2020-05-22,113,"6536","142","3280","124759","3725","51833"
2020-05-23,114,"6667","142","2576","131424","3867","54409"
2020-05-24,115,"7111","156","3285","138537","4023","57694"
2020-05-25,116,"6414","150","3012","144951","4173","60706"
2020-05-26,117,"5907","173","3585","150858","4346","64291"
2020-05-27,118,"7246","188","3434","158104","4534","67725"
2020-05-28,119,"7254","176","3171","165358","4710","70896"
2020-05-29,120,"8138","269","11735","173496","4979","82631"
2020-05-30,121,"8364","205","4303","181860","5184","86934"
2020-05-31,122,"8789","222","4928","190649","5406","91862"
2020-06-01,123,"7723","201","3882","198372","5607","95744"
2020-06-02,124,"8812","222","4531","207187","5829","100275"
2020-06-03,125,"9689","259","3789","216876","6088","104064"
2020-06-04,126,"9847","274","4390","226723","6362","108454"
2020-06-05,127,"9472","286","4770","236195","6648","113224"
2020-06-06,128,"10408","297","5433","246603","6945","118657"
2020-06-07,129,"10882","261","5191","257485","7206","123848"
2020-06-08,130,"8536","271","5171","266021","7477","129019"
2020-06-09,131,"9981","272","5634","276002","7749","134653"
2020-06-10,132,"11156","358","6275","287158","8107","140928"
2020-06-11,133,"11135","394","6044","298293","8501","146972"
2020-06-12,134,"11306","388","7263","309599","8889","154235"
